qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul
H7,H7,321,unknowns,UNKNOWN,33.966,7.352,NO,,1,Undetermined,
H7,H8,321,unknowns,UNKNOWN,34.228,7.614,NO,,1,Undetermined,
H7,H9,321,unknowns,UNKNOWN,41.37,14.756,NO,,1,Undetermined,
H7,I1,455,field_neg,UNKNOWN,26.581,-0.033,,,1,36.509,0.286
H7,I2,455,field_neg,UNKNOWN,26.697,0.083,,,1,35.806,0.473
H7,I3,455,field_neg,UNKNOWN,26.558,-0.056,,,1,Undetermined,
H7,A10,458,unknowns,UNKNOWN,26.62,0.006,,,1,30.135,27.166
H7,A11,458,unknowns,UNKNOWN,26.458,-0.156,,,1,30,29.913
H7,A12,458,unknowns,UNKNOWN,26.514,-0.1,,,1,30.087,28.104
H7,B10,459,unknowns,UNKNOWN,26.661,0.047,,,1,31.495,10.278
H7,B11,459,unknowns,UNKNOWN,26.643,0.029,,,1,31.924,7.569
H7,B12,459,unknowns,UNKNOWN,26.594,-0.02,,,1,31.759,8.514
H7,C10,460,unknowns,UNKNOWN,26.723,0.109,,,1,28.448,90.599
H7,C11,460,unknowns,UNKNOWN,26.566,-0.048,,,1,28.679,76.814
H7,C12,460,unknowns,UNKNOWN,26.582,-0.032,,,1,29.207,52.683
H7,D10,461,unknowns,UNKNOWN,45,18.386,NO,,1,Undetermined,
H7,D11,461,unknowns,UNKNOWN,45,18.386,NO,,1,Undetermined,
H7,D12,461,unknowns,UNKNOWN,45,18.386,NO,,1,Undetermined,
H7,E10,488,unknowns,UNKNOWN,26.825,0.211,,,1,30.007,29.766
H7,E11,488,unknowns,UNKNOWN,26.759,0.145,,,1,29.94,31.215
H7,E12,488,unknowns,UNKNOWN,26.563,-0.051,,,1,29.752,35.71
H7,F10,489,unknowns,UNKNOWN,26.745,0.131,,,1,32.944,3.654
H7,F11,489,unknowns,UNKNOWN,26.736,0.122,,,1,32.716,4.298
H7,F12,489,unknowns,UNKNOWN,26.694,0.08,,,1,33.014,3.474
H7,G10,510,unknowns,UNKNOWN,26.591,-0.023,,,1,33.355,2.723
H7,G11,510,unknowns,UNKNOWN,26.607,-0.007,,,1,33.976,1.748
H7,G12,510,unknowns,UNKNOWN,26.595,-0.019,,,1,33.757,2.043
H7,H10,511,unknowns,UNKNOWN,26.505,-0.109,,,1,29.679,37.601
H7,H11,511,unknowns,UNKNOWN,26.653,0.039,,,1,30.786,17.056
H7,H12,511,unknowns,UNKNOWN,26.601,-0.013,,,1,29.912,31.846
H7,J1,778,field_neg,UNKNOWN,26.468,-0.146,,,1,34.345,1.343
H7,J2,778,field_neg,UNKNOWN,26.65,0.036,,,1,35.017,0.831
H7,J3,778,field_neg,UNKNOWN,26.455,-0.159,,,1,35.221,0.719
H7,A13,801,unknowns,UNKNOWN,27.043,0.429,,,1,36.534,0.281
H7,A14,801,unknowns,UNKNOWN,27.227,0.613,,,1,33.896,1.851
H7,A15,801,unknowns,UNKNOWN,27.055,0.441,,,1,34.92,0.891
H7,B13,802,unknowns,UNKNOWN,26.589,-0.025,,,1,33.328,2.777
H7,B14,802,unknowns,UNKNOWN,26.64,0.026,,,1,32.756,4.179
H7,B15,802,unknowns,UNKNOWN,26.58,-0.034,,,1,34.476,1.223
H7,C13,847,unknowns,UNKNOWN,26.51,-0.104,,,1,Undetermined,
H7,C14,847,unknowns,UNKNOWN,26.613,-0.001,,,1,Undetermined,
H7,C15,847,unknowns,UNKNOWN,26.653,0.039,,,1,Undetermined,
H7,D13,848,unknowns,UNKNOWN,26.648,0.034,,,1,Undetermined,
H7,D14,848,unknowns,UNKNOWN,26.575,-0.039,,,1,Undetermined,
H7,D15,848,unknowns,UNKNOWN,26.564,-0.05,,,1,Undetermined,
H7,E13,849,unknowns,UNKNOWN,26.593,-0.021,,,1,Undetermined,
H7,E14,849,unknowns,UNKNOWN,26.7,0.086,,,1,Undetermined,
H7,E15,849,unknowns,UNKNOWN,26.603,-0.011,,,1,Undetermined,
H7,F13,850,unknowns,UNKNOWN,26.495,-0.119,,,1,37.911,0.105
H7,F14,850,unknowns,UNKNOWN,26.577,-0.037,,,1,37.715,0.121
H7,F15,850,unknowns,UNKNOWN,26.507,-0.107,,,1,Undetermined,
H7,K1,976,field_neg,UNKNOWN,26.567,-0.047,,,1,Undetermined,
H7,K2,976,field_neg,UNKNOWN,26.597,-0.017,,,1,Undetermined,
H7,K3,976,field_neg,UNKNOWN,26.673,0.059,,,1,Undetermined,
H7,G13,985,unknowns,UNKNOWN,26.248,-0.366,,,1,28.668,77.461
H7,G14,985,unknowns,UNKNOWN,26.422,-0.192,,,1,29.066,58.268
H7,G15,985,unknowns,UNKNOWN,26.306,-0.308,,,1,28.999,61.116
H7,H13,986,unknowns,UNKNOWN,26.481,-0.133,,,1,28.613,80.564
H7,H14,986,unknowns,UNKNOWN,26.56,-0.054,,,1,29.206,52.745
H7,H15,986,unknowns,UNKNOWN,26.509,-0.105,,,1,28.729,74.134
H7,A16,987,unknowns,UNKNOWN,26.576,-0.038,,,1,34.385,1.305
H7,A17,987,unknowns,UNKNOWN,26.623,0.009,,,1,33.682,2.157
H7,A18,987,unknowns,UNKNOWN,26.541,-0.073,,,1,35.88,0.449
H7,B16,988,unknowns,UNKNOWN,26.576,-0.038,,,1,32.112,6.617
H7,B17,988,unknowns,UNKNOWN,26.584,-0.03,,,1,31.016,14.474
H7,B18,988,unknowns,UNKNOWN,26.637,0.023,,,1,31.935,7.509
H7,L1,1203,field_neg,UNKNOWN,26.549,-0.065,,,1,Undetermined,
H7,L2,1203,field_neg,UNKNOWN,26.52,-0.094,,,1,35.599,0.549
H7,L3,1203,field_neg,UNKNOWN,26.494,-0.12,,,1,36.335,0.324
H7,M1,1204,field_neg,UNKNOWN,26.572,-0.042,,,1,33.957,1.771
H7,M2,1204,field_neg,UNKNOWN,26.448,-0.166,,,1,33.519,2.423
H7,M3,1204,field_neg,UNKNOWN,26.459,-0.155,,,1,33.384,2.667
H7,C16,1209,unknowns,UNKNOWN,28.754,2.14,NO,,1,37.916,0.105
H7,C17,1209,unknowns,UNKNOWN,31.164,4.55,NO,,1,38.937,0.051
H7,C18,1209,unknowns,UNKNOWN,31.67,5.056,NO,,1,Undetermined,
H7,D16,1210,unknowns,UNKNOWN,26.815,0.201,,,1,34.224,1.464
H7,D17,1210,unknowns,UNKNOWN,26.792,0.178,,,1,34.662,1.071
H7,D18,1210,unknowns,UNKNOWN,26.741,0.127,,,1,34.811,0.963
H7,E16,1225,unknowns,UNKNOWN,26.591,-0.023,,,1,34.558,1.154
H7,E17,1225,unknowns,UNKNOWN,26.629,0.015,,,1,34.905,0.9
H7,E18,1225,unknowns,UNKNOWN,26.601,-0.013,,,1,35.465,0.603
H7,F16,1226,unknowns,UNKNOWN,26.531,-0.083,,,1,35.386,0.639
H7,F17,1226,unknowns,UNKNOWN,26.617,0.003,,,1,35.272,0.693
H7,F18,1226,unknowns,UNKNOWN,26.679,0.065,,,1,35.847,0.459
H7,G16,1227,unknowns,UNKNOWN,26.605,-0.009,,,1,30.243,25.135
H7,G17,1227,unknowns,UNKNOWN,26.778,0.164,,,1,30.227,25.423
H7,G18,1227,unknowns,UNKNOWN,26.975,0.361,,,1,30.291,24.293
H7,H16,1228,unknowns,UNKNOWN,26.395,-0.219,,,1,Undetermined,
H7,H17,1228,unknowns,UNKNOWN,27.102,0.488,,,1,34.732,1.019
H7,H18,1228,unknowns,UNKNOWN,27.598,0.984,,,1,35.625,0.538
H7,N1,1534,field_neg,UNKNOWN,26.364,-0.25,,,1,36.294,0.334
H7,N2,1534,field_neg,UNKNOWN,26.447,-0.167,,,1,34.063,1.643
H7,N3,1534,field_neg,UNKNOWN,26.51,-0.104,,,1,34.786,0.98
H7,D4,1541,unknowns,UNKNOWN,45,18.386,NO,,1,Undetermined,
H7,D5,1541,unknowns,UNKNOWN,45,18.386,NO,,1,Undetermined,
