"Gridcell_ID","WM_ngdc_depth_m"
4824,-4181.87441176471
4825,-4011.92635314996
4826,-3968.41965862272
4827,-3907.64369846879
4828,-4057.16750221174
4829,-4135.25353773585
4830,-4129.93992932862
4831,-4029.82110226938
4832,-3941.71066588097
4833,-3963.81533923304
4834,-3896.49602122016
4835,-3912.72510312316
4836,-3918.97083946981
4837,-3887.11638185032
4838,-3792.28344136712
4839,-3758.03653506187
4840,-3861.99261447563
4841,-3946.19253316878
4842,-3904.90176423416
4843,-3819.36891495601
4844,-3857.66558791802
4845,-3894.43428571429
5138,-4173.40679245283
5139,-4180.38682381384
5140,-4197.20105820106
5141,-4174.61728395062
5142,-4217.65571847507
5143,-4246.39857651246
5144,-4173.50293944738
5145,-4128.92388758782
5146,-4154.16395383249
5147,-4167.47234545992
5148,-4132.1040327294
5149,-4137.56780660377
5150,-4172.22851215175
5151,-4148.70340975897
5152,-4112.96766607878
5153,-4074.64233146894
5154,-4136.54187629476
5155,-4063.75624082232
5156,-3983.22733939572
5157,-3909.60869565217
5158,-4025.98674521355
5159,-4050.76001177856
5160,-4113.57491904622
5161,-4071.37290132548
5162,-3946.08424153166
5163,-3926.38844680224
5164,-3879.11958762887
5165,-3863.01119293078
5166,-3875.72114252061
5167,-3819.28062426384
5168,-3760.71676982022
5169,-3724.79569575472
5170,-3760.71550707547
5171,-3868.06802120141
5172,-3894.02207830439
5173,-3824.09387875221
5174,-3868.37112488928
5175,-3919.69375
5176,-3888.81295487627
5177,-3942.1452685422
5178,-3967.39175257732
5179,-3935.78795811518
5467,-4115.5980861244
5468,-4134.34652880354
5469,-4090.53195266272
5470,-4162.07418397626
5471,-4111.82598471487
5472,-4147.9317386231
5473,-4202.62234669811
5474,-4160.65933412604
5475,-4097.3984122317
5476,-4081.05023364486
5477,-4113.49233038348
5478,-4095.03226761397
5479,-4139.47605054364
5480,-4140.95825984715
5481,-4126.57071596244
5482,-4110.68136094675
5483,-4066.4640753828
5484,-4121.60758377425
5485,-4021.32305433187
5486,-3954.22347029264
5487,-3996.41948778334
5488,-3995.27657075749
5489,-3965.26621462264
5490,-4103.70200235571
5491,-4062.02826855124
5492,-3945.09251620507
5493,-3964.17005001471
5494,-3918.08183691493
5495,-3843.9711510156
5496,-3845.1856974691
5497,-3798.44991160872
5498,-3756.63060141509
5499,-3750.76596997351
5500,-3768.26360694322
5501,-3851.63012083702
5502,-3823.84961742201
5503,-3824.55549013836
5504,-3894.80900529723
5505,-3930.36057834169
5506,-3897.45526780459
5507,-3939.06880329315
5508,-3956.08007065057
5509,-3911.42431395692
5510,-3790.21832163156
5511,-3643.36631865638
5512,-3697.54872881356
5513,-3707.82182985554
5514,-3647
5796,-3938.88687782805
5797,-3939.31302827164
5798,-4013.03818128825
5799,-4010.61287477954
5800,-4093.88869153345
5801,-4039.75978647687
5802,-4102.35390946502
5803,-4132.41766248907
5804,-4138.68959435626
5805,-4076.05456702254
5806,-4074.61382352941
5807,-4108.64785420341
5808,-4098.3177542622
5809,-4096.47476525822
5810,-4103.11360946746
5811,-4150.13890523838
5812,-4093.46443268665
5813,-4043.19613583138
5814,-4099.82949172577
5815,-3999.64008240141
5816,-3909.3129613227
5817,-3919.84173505275
5818,-3946.06991774383
5819,-3939.57054309327
5820,-4036.62654502649
5821,-4022.31676470588
5822,-3936.4587992937
5823,-3983.03560918187
5824,-3951.82813419659
5825,-3908.38352941176
5826,-3880.87937628714
5827,-3810.69360070776
5828,-3757.83142100618
5829,-3769.83200941453
5830,-3825.69411764706
5831,-3848.27695934001
5832,-3863.75544437905
5833,-3880.20029411765
5834,-3894.51368049426
5835,-3917.0144244922
5836,-3900.81686818048
5837,-3949.13794117647
5838,-3949.23377386197
5839,-3896.33058823529
5840,-3746.26835741669
5841,-3642.70889805539
5842,-3568.12555130844
5843,-3664.14948604993
5844,-3616.78861788618
5845,-3639.23945968072
5846,-3689.8972972973
5847,-3579.36018411968
5848,-3433.27586206897
