"Gridcell_ID","WM_depth_m"
597,-3075.68349168646
598,-3069.54793707332
599,-2687.1720971564
600,-2638.68861209964
601,-2895.26670626671
602,-3211.16854599407
603,-3218.70628334321
604,-3239.90299614358
605,-3209.76744876745
606,-3028.76676557863
607,-2442.84651851852
608,-1942.62333036509
609,-1413.55581947743
610,-1183.46384113811
611,-2136.4237388724
612,-2658.79567022539
613,-2365.06298276887
614,-1909.47907390917
615,-2064.59418570157
616,-2337.19080118694
617,-2433.64105606645
618,-2061.58617620884
619,-1724.92371623627
620,-2238.57702582369
621,-2879.64183976261
622,-2730.31118362504
623,-2186.03503562945
624,-2018.90026714159
625,-2617.44362017804
626,-2800.95192878338
627,-2843.46363906204
628,-2844.59869397447
629,-2833.79875333927
630,-2575.18367952522
631,-2419.74376484561
632,-1706.31918052257
633,-1936.67468805704
634,-2034.92403560831
635,-1966.39839810145
636,-1743.38758538759
637,-1244.19483219483
638,-814.46080760095
639,-453.318397626113
640,-196.991095280499
641,-86.5895455895456
642,-53.9896019013666
643,-31.6990204808549
644,-7.16414523449319
742,-4449.24574814815
743,-4406.65327795906
744,-4351.99872554831
745,-4283.75521235521
746,-4167.56204033215
747,-4218.29315555556
748,-4306.38454005935
749,-4346.13915752002
750,-4385.73158518519
751,-4404.42858837485
752,-4351.65271593945
753,-4350.18351615772
754,-4205.6996742671
755,-4050.92948337292
756,-4161.50948991696
757,-4458.21720971564
758,-4419.00525066746
759,-4361.40198813056
760,-4127.47237192775
761,-4061.63288849348
762,-4336.14494215366
763,-4310.15603320486
764,-4174.9901007706
765,-3797.8605458321
766,-3716.00501334915
767,-4252.80485781991
768,-4393.51849985176
769,-4382.68192056906
770,-4369.19490068188
771,-4457.22994367032
772,-4405.54882962963
773,-4354.86461173681
774,-4401.7779293978
775,-4464.38408888889
776,-4298.13588374852
777,-3645.00234212867
778,-3222.91119668246
779,-3662.96091988131
780,-3587.2090936019
781,-3654.92451880367
782,-3549.99792284866
783,-3733.21617777778
784,-4190.14811963281
785,-4293.68138361045
786,-4028.4304708321
787,-3688.6178264732
788,-3867.12207060219
789,-3985.78153526971
790,-4258.00446877775
791,-4294.56421146421
792,-4261.60847156398
793,-4272.67363905326
794,-4344.97393111639
795,-4259.26118030842
796,-4314.29662522202
797,-4319.91395555556
798,-4311.96134005337
799,-4313.30618526191
800,-4360.4264609908
801,-4371.65605925926
802,-4384.74578027835
803,-4439.39777580071
804,-4450.10180633699
805,-4429.99626666667
806,-4433.06186666667
807,-4436.51826267418
808,-4477.33325422723
809,-4432.47429671306
810,-4319.15446190335
811,-4288.53367860314
812,-4294.59650784256
813,-4330.83991671624
814,-4306.79985215849
815,-4289.38279633461
816,-4332.73708668454
817,-4341.99554046072
818,-4369.6644779651
819,-4310.94188746651
820,-4349.46539823009
821,-4444.65865556217
822,-4471.35973949082
823,-4380.52645580845
824,-4275.6602967359
825,-4199.88833135392
826,-4144.82957953543
827,-4061.47712066906
828,-4197.63593009479
829,-4235.37995289962
830,-4281.3651135006
831,-4338.69424609029
832,-4229.17471162378
833,-4220.34938969931
834,-4249.8455026455
835,-4140.18160095579
836,-4271.97789725209
837,-4286.60292825769
838,-4225.32333039129
839,-4139.18996415771
840,-4095.51205173427
841,-4133.32676224612
842,-4062.95149911817
843,-4145.03554360812
844,-4141.82974910394
845,-4139.30070546737
846,-4241.26792114695
847,-4216.68598462448
848,-4214.48965919021
849,-4229.13201911589
850,-4139.20936474799
851,-4093.50603473653
852,-4250.49701314217
853,-4290.24955908289
